store,address,lat,lng
길동중앙점,서울특별시 강동구 양재대로  1478 (길동),37.5376961,127.1402416
부산남산점,부산광역시 금정구 남산로 2 (남산동),35.2669825,129.0921139
광명센트베르점,경기도 광명시 새터로 27 (광명동) 광명센트베르상가 109~111호,37.4707696,126.8524620
호구포역점,"인천광역시 남동구 호구포로 219 (논현동,세중프라자) 1층",37.4026242,126.7095716
사상구청점,부산광역시 사상구 학감대로 236 (감전동) 1층,35.1519682,128.9903335
명동역점,"서울특별시 중구 퇴계로 131,1층(충무로2가,신일빌딩)",37.5612798,126.9864204
매교솔밭사거리점,경기도 수원시 팔달구 세지로 150 (인계동) 1층,37.2648514,127.0210447
이천상승대점,경기도 이천시 장호원읍 경충대로597번길 251 (이황리) 1층,37.1624465,127.5752047
울산온산덕신점,울산광역시 울주군 온산읍 덕남로 93 (덕신리) 1층,35.4290368,129.3063777
상무점,광주광역시 서구 치평로 32 (치평동),35.1501482,126.8476463
인천논현점,인천광역시 남동구 에코중앙로156번길 5-19 (논현동) 1층,37.3918905,126.7266082
김포양곡점,"경기도 김포시 양촌읍 양곡1로 65 (양곡리) 104, 105호",37.6563102,126.6228820
일산산들점,경기도 고양시 일산서구 고양대로 726 (일산동) 1층,37.6828074,126.7766095
[오생성]부산엄궁점,"부산광역시 사상구 엄궁로203번길 40 (엄궁동,송학빌딩) 1층",35.1288889,128.9718230
카페수원망포점,"경기도 수원시 영통구 태장로 73 (망포동,정석 그린프라자) 1층",37.2393257,127.0543271
화성상리점,경기도 화성시 봉담읍 샘마을1길 17-7 (상리) 샘마을길21,37.2184450,126.9509336
전북익산영등점,전북특별자치도익산시 고봉로30길 10 1층,35.9561353,126.9713204
이천마장점,이천시 중앙로 10번길 30 105호~106호,37.2507871,127.3569914
이천마장점,이천시 중앙로 10번길 30 105호~106호,37.2507871,127.3569914
서대구센트럴자이점,"대구광역시 서구 팔달로46길 20-8 (원대동3가) 402동 1층 1호 (원대동3가,서대구센",35.8905935,128.5538161
강릉교동점,강원특별자치도 강릉시 교동광장로 139 (교동),37.7644243,128.8803203
카페배곧센터점,"경기도 시흥시 배곧3로 96 (정왕동,M-플러스) 1층 110호,111호",37.3698189,126.7300526
김해안동푸르지오점,"경상남도 김해시 안동길 31 (안동, 김해푸르지오하이엔드 1단지)103호, 104호",35.2379759,128.9133350
DMC수색초교점,서울특별시 은평구 수색로20길 20-22 (수색동) DMC SK뷰아이파크포레 112호,,
배곧한라비발디점,"경기도 시흥시 배곧1로 27-16 (정왕동,한라비발디캠퍼스2차) 101,102호",37.3627494,126.7151139
충주연수롯데점,충청북도 충주시 예성로 392 (연수동) 1층,36.9911810,127.9343622
울산지웰자이점,울산시 동구 서부로 51,35.5255623,129.4296043
창원동읍점,경상남도 창원시 의창구 동읍 동읍로 11 (용잠리) 1층,35.2783208,128.6843343
전남광양용강점,전라남도 광양시 광양읍 기두5길 2 (용강리) 1층,34.9745795,127.6074405
다산센트럴파크점,"경기도 남양주시 다산중앙로82번길 80 1층 102호,103호,104호",37.6197761,127.1635690
충남부여점,충청남도 부여군 부여읍 석탑로 55 (구아리),36.2810529,126.9124477
경북안동용상점,경상북도 안동시 중평길 107-27 1층 101호,36.5558325,128.7509396
사천카이점,경상남도 사천시 사남면 항공로 162,35.0740968,128.0700998
광명중앙대병원점,경기도 광명시 덕안로104번길 17 (일직동) 광명역M클러스터 B128호 (일직동),37.4242146,126.8870632
아산신도브래뉴점,"충청남도 아산시 용화고길 90 (용화동,용화마을신도브래뉴아파트) 상가동 1층 105호",36.7725062,127.0123162
신도림역점,"구로구 경인로 661 신도림 1차 푸르지오 111호,111-1호",37.5100374,126.8883336
탄현제니스점,"경기도 고양시 일산서구 일현로 97-11 136, 137호(탄현동, 일산 위브더제니스)",37.6940172,126.7628568
세종첫마을점,세종특별자치시 노을3로 84,36.4793540,127.2553353
제주연오로점,제주특별자치도 제주시 연오로 88 (연동) 1층,33.4853269,126.5013952
포항초곡점,"경상북도 포항시 북구 흥해읍 초곡지구로58번길 52 (초곡리,초곡삼구트리니엔시티) 101호, 102호",36.0985150,129.3339840
진영휴게소 부산방향점,경상남도 김해시 진영읍 하계로96번길 94-4 (우동리) 1층,35.2774167,128.7174738
이수역점,서울특별시 서초구 동작대로 70 (방배동) 1층,37.4828626,126.9823632
건대입구역점,서울 광진구 아차산로 225 단산화빌딩 1층,37.5409361,127.0684847
아산탕정점,충남 아산시 탕정면 한들물빛5로 11,36.7869993,127.0846160
루원SK점,인천광역시 서구 가정로 437 B2 211호,37.5234670,126.6712038
카페인창점,경기도 구리시 동구릉로 82 (인창동) 1층,37.6074462,127.1344798
갈매스칸센점,경기도 구리시 갈매순환로 188 오피스텔동 1층 AE01-0009호 (갈매동),37.6361677,127.1222475
대구본리점,대구광역시 달서구 장기로 221 (본리동) 1층,35.8433816,128.5361787
천안대원점,"충청남도 천안시 서북구 불당11로 101 (불당동,불당센타프라자) 103,104",36.8052250,127.1159201
평택지제센트럴파크점,경기도 평택시 동삭1로22번길 19-15 (동삭동) 104호,37.0203740,127.0932929
울산대병원점,울산광역시 동구 대학병원로 25 울산대병원 본관 1층,35.5200702,129.4289116
충대중문점,충청북도 청주시 서원구 내수동로 112 1층,36.6336672,127.4597565
하남유니온시티점,경기도 하남시 신장동 593 (하남유시티대명루첸리버파크) 16~20호,37.5452890,127.2141012
부산구서롯데캐슬점,부산광역시 금정구 금강로 479 (구서동),35.2500896,129.0876089
행신샘터점,"경기도 고양시 덕양구 중앙로557번길 11 (행신동,삼정플라자) 1층뚜레쥬르",37.6229648,126.8350340
오송파라곤점,충청북도 청주시 흥덕구 오송읍 오송생명7로 164,36.6215389,127.3175722
대구도남점,"대구광역시 북구 도남길 7 (국우동) 도남중앙로7길 20-4, 도남지구 21B-1L 1",35.9508615,128.5786121
춘천한숲시티점,"강원특별자치도 춘천시 안마산로 115 (퇴계동) E편한세상춘천한숲시티 상가A-2동 101,10",37.8558764,127.7293468
시흥장현점,경기도 시흥시 장곡1로 5 106-109호,37.3796621,126.7848140
통영죽림터미널점,경상남도 통영시 광도면 죽림4로 18 (죽림리) 1층,34.8855835,128.4164745
마곡수명산점,"서울특별시 강서구 수명로 68-35 (내발산동,웨스트엔드중정) 1층",37.5530057,126.8267826
가산센트럴점,"서울특별시 금천구 디지털로10길 69 (가산동,가산센트럴푸르지오시티) 1층 1동 101호",37.4753002,126.8908539
청주용암부영점,충청북도 청주시 상당구 중흥로 199 (용암동) 1층,36.6201601,127.5144244
거제사등점,경상남도 거제시 사등면 두동로 65 (사곡리) 2층,34.8961119,128.5684887
제주하귀하나로점,제주특별자치도 제주시 애월읍 하광로 15 (하귀1리) 102,33.4840855,126.4119787
부산초읍점,부산광역시 부산진구 새싹로 216 (초읍동) 1층,35.1754404,129.0488903
대구대봉점,대구광역시 남구 대봉로 128 (이천동) 1층,35.8501748,128.6037181
위례중앙점,"경기도 성남시 수정구 위례광장로 300 (창곡동,위례중앙역중앙타워) 108,109호",37.4734648,127.1427026
검단아라점,인천시 서구 푸르내2길 4 1층,37.5842562,126.7139286
카페강남대로점,"서울특별시 강남구 강남대로 524 (논현동,건일빌딩) 1층",37.5090367,127.0227869
무교점,"서울특별시 중구 남대문로9길 40 센터플레이스 114호, 115호 중 일부",37.5670959,126.9803692
대구센트럴점,"대구광역시 북구 대천로 100 (동천동,화성센트럴파크) 1층",35.9352860,128.5604705
가양역점,"서울특별시 강서구 양천로57길 16 (가양동,영보빌딩) 영보빌딩 1층",37.5633795,126.8525226
울산무거점,울산광역시 남구 대학로147번길 61 (무거동) 1층,35.5521664,129.2588598
홍천갈마점,"강원특별자치도 홍천군 홍천읍 갈마로 16 (갈마곡리,주공1차아파트) 주공1차아파트 상가동 103호,",37.6924017,127.8986258
공주신관제일점,충청남도 공주시 번영1로 72 (신관동) 1층,36.4734333,127.1358078
검단신도시점,"인천시 서구 이음5로 20 110,111호 (원당동, 연세프라자8차)",37.5937415,126.7099313
대구달성공원역점,대구 중구 달성로 123 달성파크푸르지오힐스테이트 상가 506동 102호,35.8768155,128.5800575
대전신탄진대청점,대전광역시 대덕구 대청로 38 1층,36.4520612,127.4327225
인천가좌점,"인천광역시 서구 장고개로 319 (가좌동,진주아파트) 1층",37.4922274,126.6857205
부산동의대역점,부산광역시 부산진구 가야대로 538 (가야동) 가야롯데캐슬 상가2동 108호,35.1529648,129.0309735
광주봉선점,광주광역시 남구 봉선중앙로 70-1,35.1271648,126.9114001
경남합천점,경상남도 합천군 합천읍 옥산로 126 (합천리),35.5673051,128.1688722
구미형곡제일점,경상북도 구미시 신시로 73 (형곡동) 경상북도 구미시 형곡동 144-5 1층. 現새서,36.1144377,128.3387054
목포하당중흥점,전라남도 목포시 비파로 96 (상동) 1층,34.8068665,126.4249933
대전장대점,대전광역시 유성구 문화원로 2 (장대동),36.3617778,127.3368140
칠곡구암점,대구광역시 북구 구암로 150 (구암동) 1층,35.9314900,128.5571018
광화문경희궁의아침점,"서울특별시 종로구 사직로8길 34 (내수동,경희궁의아침 3단지) 1층",37.5738725,126.9718472
전북순창점,전북특별자치도 순창군 순창읍 경천1로 34,35.3728503,127.1363885
동탄지스타점,경기도 화성시 동탄기흥로353번길 100 (오산동) 지스타프라자 107~108호(오산동),37.1878637,127.0855999
대전서구만년점,대전광역시 서구 만년남로 10,36.3661843,127.3769329
구미원평점,경상북도 구미시 구미중앙로21길 21 (원평동) 1층,36.1287640,128.3366998
용산리첸시아점,"서울특별시 용산구 백범로 341 (원효로1가,리첸시아 용산) 1층",37.5383556,126.9678941
삼성바이오로직스점점,"인천광역시 연수구 송도바이오대로 300 (송도동,삼성바이오로직스) 삼성바이오로직스",37.3683817,126.6602563
부산기장동부점,부산광역시 기장군 기장읍 차성동로 108,35.2473373,129.2170465
경북대병원점,"대구광역시 중구 동덕로 130 (삼덕동2가,경북대학교병원) 경북대학교병원새마을금고직영",35.8662525,128.6047030
계양작전점,인천광역시 계양구 장제로 672 (작전동) 109호,37.5278095,126.7338029
전북부안점,전북특별자치도 부안군 부안읍 석정로 199 (동중리) 1층,35.7278947,126.7374441
